Title,Authors,Publication,Date,DOI,Citations,Scopus_ID,Scopus_URL
"Review of Sustainable Jet Fuel Production through Pyrolysis of Waste Tires: Process, The Physicochemical Properties and Catalyst",Fitrianto ,Kompleksnoe Ispolzovanie Mineralnogo Syra,2026-05-27,10.31643/2026/6445.40,0,105010003778,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010003778
Artificial Intelligence-assisted Endoscopy and Examiner Confidence: A Study on Human–Artificial Intelligence Interaction in Barrett's Esophagus (With Video),Roser D.,Den Open,2026-04-01,10.1002/deo2.70150,0,105008718274,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008718274
WEST: Interactive validation of Mission-time Linear Temporal Logic (MLTL),Wang Z.,Science of Computer Programming,2026-03-01,10.1016/j.scico.2025.103365,0,105010853435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010853435
Waste-chopped basalt fiber as a high-performance asphalt mixture modifier: Multi-temperature domains performance characterization based on fiber characteristic parameters,Xu J.,Fuel,2026-01-15,10.1016/j.fuel.2025.136284,0,105010961463,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010961463
Light and shadows of smart contract development with LLMs,Napoli E.A.,Expert Systems with Applications,2026-01-15,10.1016/j.eswa.2025.129011,0,105011033975,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011033975
A new generalized algorithm for conversion of synchronous fluorescence matrices in excitation-emission matrices for applications in second order analysis,de Caldas Barreto M.,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,2026-01-05,10.1016/j.saa.2025.126692,0,105011141054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011141054
Virtual Reality vs. Augmented Virtuality in Fire Extinguishing Training,Ntantamis O.,Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering Lnicst,2026-01-01,10.1007/978-3-031-97257-7_12,0,105011296023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011296023
GIS-Based Accessibility and Safety Assessment in Small Historic Centres in Inner Areas. Pilot Application in Stigliano and Interoperability with a Digital Twin,Caselli B.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-031-97657-5_10,0,105010835019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010835019
MLE-RBA: A Machine Learning-Empowered Risk-Based Authentication Algorithm,Matiushin I.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-031-97648-3_22,0,105010816630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010816630
Software Architecture for Automated 3D Image Measurements,Tsonkov G.,Lecture Notes in Business Information Processing,2026-01-01,10.1007/978-3-031-98033-6_15,0,105010818436,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010818436
